region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,ER,sqfeet/p,price/p,laundry_score,parking_score
reno / tahoe,1795,house,1996,4,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,4,499.0,448.75,4,6
reno / tahoe,1415,apartment,796,1,1.0,1,1,1,0,0,0,w/d in unit,detached garage,ca,1,796.0,1415.0,5,5
reno / tahoe,1095,apartment,435,0,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking,ca,1,435.0,1095.0,3,3
sacramento,2595,townhouse,1317,2,2.5,1,1,0,0,0,1,w/d in unit,attached garage,ca,2,658.5,1297.5,5,6
reno / tahoe,1423,apartment,1035,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca,2,517.5,711.5,5,3
reno / tahoe,1695,townhouse,1226,3,2.5,0,0,1,0,0,0,w/d in unit,attached garage,ca,3,408.6666666666667,565.0,5,6
reno / tahoe,1625,condo,1276,3,1.5,0,0,1,0,0,0,w/d hookups,carport,ca,3,425.3333333333333,541.6666666666666,4,4
reno / tahoe,1684,apartment,1002,2,2.0,1,1,1,1,0,0,w/d in unit,carport,ca,2,501.0,842.0,5,4
reno / tahoe,1050,apartment,1074,2,1.5,1,0,1,0,0,0,w/d in unit,off-street parking,ca,2,537.0,525.0,5,3
reno / tahoe,1195,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca,2,450.0,597.5,5,3
reno / tahoe,995,duplex,600,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca,1,600.0,995.0,5,4
reno / tahoe,1625,townhouse,1276,3,1.5,0,0,1,0,0,0,w/d hookups,carport,ca,3,425.3333333333333,541.6666666666666,4,4
reno / tahoe,1695,townhouse,1226,3,2.5,0,0,1,0,0,0,w/d in unit,attached garage,ca,3,408.6666666666667,565.0,5,6
reno / tahoe,1593,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,585.5,796.5,5,4
reno / tahoe,1558,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,585.5,779.0,5,4
reno / tahoe,1253,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,1,790.0,1253.0,5,4
reno / tahoe,1558,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,2,585.5,779.0,5,4
reno / tahoe,1100,condo,850,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca,2,425.0,550.0,5,3
reno / tahoe,1099,townhouse,1100,2,1.5,1,1,0,1,0,1,laundry in bldg,carport,ca,2,550.0,549.5,3,4
reno / tahoe,1695,house,1902,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca,3,634.0,565.0,5,6
reno / tahoe,1239,apartment,790,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,1,790.0,1239.0,5,4
reno / tahoe,1225,duplex,800,1,1.0,1,1,0,0,0,0,w/d in unit,street parking,ca,1,800.0,1225.0,5,2
reno / tahoe,1195,apartment,900,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca,2,450.0,597.5,5,3
reno / tahoe,2300,house,2000,3,2.0,1,1,0,0,0,1,w/d in unit,attached garage,ca,3,666.6666666666666,766.6666666666666,5,6
reno / tahoe,3000,house,2400,3,3.0,0,1,1,0,0,0,w/d in unit,attached garage,ca,3,800.0,1000.0,5,6
reno / tahoe,2300,house,2000,3,2.0,1,1,0,0,0,1,w/d in unit,attached garage,ca,3,666.6666666666666,766.6666666666666,5,6
